Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Scotty Miller (40836056),Scotty Miller,40836056,WR/FLEX,3000,PIT@CHI 11/23/2025 01:00PM ET,PIT,0.27
WR,Ben Skowronek (40836058),Ben Skowronek,40836058,WR/FLEX,3000,PIT@CHI 11/23/2025 01:00PM ET,PIT,1.15
WR,Ke'Shawn Williams (40836060),Ke'Shawn Williams,40836060,WR/FLEX,3000,PIT@CHI 11/23/2025 01:00PM ET,PIT,-0.17
WR,Max Hurleman (40836062),Max Hurleman,40836062,WR/FLEX,3000,PIT@CHI 11/23/2025 01:00PM ET,PIT,0
WR,Marquez Valdes-Scantling (40836064),Marquez Valdes-Scantling,40836064,WR/FLEX,3000,PIT@CHI 11/23/2025 01:00PM ET,PIT,1.6
WR,Devin Duvernay (40836066),Devin Duvernay,40836066,WR/FLEX,3000,PIT@CHI 11/23/2025 01:00PM ET,CHI,0.12
WR,Jahdae Walker (40836068),Jahdae Walker,40836068,WR/FLEX,3000,PIT@CHI 11/23/2025 01:00PM ET,CHI,0
WR,Maurice Alexander (40836070),Maurice Alexander,40836070,WR/FLEX,3000,PIT@CHI 11/23/2025 01:00PM ET,CHI,0
WR,JP Richardson (40836072),JP Richardson,40836072,WR/FLEX,3000,PIT@CHI 11/23/2025 01:00PM ET,CHI,0
WR,Efton Chism III (40836040),Efton Chism III,40836040,WR/FLEX,3000,NE@CIN 11/23/2025 01:00PM ET,NE,0
WR,Jeremiah Webb (40836042),Jeremiah Webb,40836042,WR/FLEX,3000,NE@CIN 11/23/2025 01:00PM ET,NE,0
WR,John Jiles (40836044),John Jiles,40836044,WR/FLEX,3000,NE@CIN 11/23/2025 01:00PM ET,NE,0
WR,Mitch Tinsley (40836046),Mitch Tinsley,40836046,WR/FLEX,3000,NE@CIN 11/23/2025 01:00PM ET,CIN,1.39
WR,Charlie Jones (40836048),Charlie Jones,40836048,WR/FLEX,3000,NE@CIN 11/23/2025 01:00PM ET,CIN,0.6
WR,Jermaine Burton (40836050),Jermaine Burton,40836050,WR/FLEX,3000,NE@CIN 11/23/2025 01:00PM ET,CIN,0
WR,Kendric Pryor (40836052),Kendric Pryor,40836052,WR/FLEX,3000,NE@CIN 11/23/2025 01:00PM ET,CIN,0
WR,Jordan Moore (40836054),Jordan Moore,40836054,WR/FLEX,3000,NE@CIN 11/23/2025 01:00PM ET,CIN,0
WR,Kalif Raymond (40835842),Kalif Raymond,40835842,WR/FLEX,3000,NYG@DET 11/23/2025 01:00PM ET,DET,3.22
WR,Gunner Olszewski (40836014),Gunner Olszewski,40836014,WR/FLEX,3000,NYG@DET 11/23/2025 01:00PM ET,NYG,0.86
WR,Dalen Cambre (40836016),Dalen Cambre,40836016,WR/FLEX,3000,NYG@DET 11/23/2025 01:00PM ET,NYG,0
WR,Malik Nabers (40836018),Malik Nabers,40836018,WR/FLEX,3000,NYG@DET 11/23/2025 01:00PM ET,NYG,15.02
WR,Beaux Collins (40836020),Beaux Collins,40836020,WR/FLEX,3000,NYG@DET 11/23/2025 01:00PM ET,NYG,0.5
WR,Bryce Ford-Wheaton (40836022),Bryce Ford-Wheaton,40836022,WR/FLEX,3000,NYG@DET 11/23/2025 01:00PM ET,NYG,0
WR,Ray-Ray McCloud III (40836024),Ray-Ray McCloud III,40836024,WR/FLEX,3000,NYG@DET 11/23/2025 01:00PM ET,NYG,2.32
WR,Ihmir Smith-Marsette (40836026),Ihmir Smith-Marsette,40836026,WR/FLEX,3000,NYG@DET 11/23/2025 01:00PM ET,NYG,0
WR,Da'Quan Felton (40836028),Da'Quan Felton,40836028,WR/FLEX,3000,NYG@DET 11/23/2025 01:00PM ET,NYG,0
WR,Isaac TeSlaa (40836030),Isaac TeSlaa,40836030,WR/FLEX,3000,NYG@DET 11/23/2025 01:00PM ET,DET,2.25
WR,Dominic Lovett (40836032),Dominic Lovett,40836032,WR/FLEX,3000,NYG@DET 11/23/2025 01:00PM ET,DET,0
WR,Tom Kennedy (40836034),Tom Kennedy,40836034,WR/FLEX,3000,NYG@DET 11/23/2025 01:00PM ET,DET,0
WR,Jackson Meeks (40836036),Jackson Meeks,40836036,WR/FLEX,3000,NYG@DET 11/23/2025 01:00PM ET,DET,0
WR,Malik Cunningham (40836038),Malik Cunningham,40836038,WR/FLEX,3000,NYG@DET 11/23/2025 01:00PM ET,DET,0
TE,Brock Wright (40836146),Brock Wright,40836146,TE/FLEX,3000,NYG@DET 11/23/2025 01:00PM ET,DET,3.09
WR,Adam Thielen (40835990),Adam Thielen,40835990,WR/FLEX,3000,MIN@GB 11/23/2025 01:00PM ET,MIN,1.69
WR,Tai Felton (40835992),Tai Felton,40835992,WR/FLEX,3000,MIN@GB 11/23/2025 01:00PM ET,MIN,0.19
