Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Dillon Gabriel (41281834),Dillon Gabriel,41281834,QB,4000,PIT@CLE 12/28/2025 01:00PM ET,CLE,7.21
QB,Deshaun Watson (41281835),Deshaun Watson,41281835,QB,4000,PIT@CLE 12/28/2025 01:00PM ET,CLE,0
QB,Bailey Zappe (41281836),Bailey Zappe,41281836,QB,4000,PIT@CLE 12/28/2025 01:00PM ET,CLE,0
RB,Quinshon Judkins (41281942),Quinshon Judkins,41281942,RB/FLEX,4000,PIT@CLE 12/28/2025 01:00PM ET,CLE,12.34
RB,Kaleb Johnson (41282010),Kaleb Johnson,41282010,RB/FLEX,4000,PIT@CLE 12/28/2025 01:00PM ET,PIT,0.88
RB,Lew Nichols (41282012),Lew Nichols,41282012,RB/FLEX,4000,PIT@CLE 12/28/2025 01:00PM ET,PIT,0
RB,Trey Sermon (41282014),Trey Sermon,41282014,RB/FLEX,4000,PIT@CLE 12/28/2025 01:00PM ET,PIT,0
RB,Jerome Ford (41282016),Jerome Ford,41282016,RB/FLEX,4000,PIT@CLE 12/28/2025 01:00PM ET,CLE,3.35
RB,Ahmani Marshall (41282018),Ahmani Marshall,41282018,RB/FLEX,4000,PIT@CLE 12/28/2025 01:00PM ET,CLE,0
WR,Jerry Jeudy (41282122),Jerry Jeudy,41282122,WR/FLEX,4000,PIT@CLE 12/28/2025 01:00PM ET,CLE,7.14
QB,Nick Mullens (41281827),Nick Mullens,41281827,QB,4000,JAX@IND 12/28/2025 01:00PM ET,JAX,-0.12
QB,Carter Bradley (41281828),Carter Bradley,41281828,QB,4000,JAX@IND 12/28/2025 01:00PM ET,JAX,0
QB,Brett Rypien (41281829),Brett Rypien,41281829,QB,4000,JAX@IND 12/28/2025 01:00PM ET,IND,0
QB,Daniel Jones (41281830),Daniel Jones,41281830,QB,4000,JAX@IND 12/28/2025 01:00PM ET,IND,18.73
RB,DeeJay Dallas (41282000),DeeJay Dallas,41282000,RB/FLEX,4000,JAX@IND 12/28/2025 01:00PM ET,JAX,0
RB,Ja'Quinden Jackson (41282002),Ja'Quinden Jackson,41282002,RB/FLEX,4000,JAX@IND 12/28/2025 01:00PM ET,JAX,0
RB,DJ Giddens (41282004),DJ Giddens,41282004,RB/FLEX,4000,JAX@IND 12/28/2025 01:00PM ET,IND,0.94
RB,Salvon Ahmed (41282006),Salvon Ahmed,41282006,RB/FLEX,4000,JAX@IND 12/28/2025 01:00PM ET,IND,0
RB,Ulysses Bentley IV (41282008),Ulysses Bentley IV,41282008,RB/FLEX,4000,JAX@IND 12/28/2025 01:00PM ET,IND,0
TE,Brenton Strange (41282438),Brenton Strange,41282438,TE/FLEX,4000,JAX@IND 12/28/2025 01:00PM ET,JAX,9.24
QB,Tua Tagovailoa (41281811),Tua Tagovailoa,41281811,QB,4000,TB@MIA 12/28/2025 01:00PM ET,MIA,12.84
QB,Teddy Bridgewater (41281824),Teddy Bridgewater,41281824,QB,4000,TB@MIA 12/28/2025 01:00PM ET,TB,0.72
QB,Connor Bazelak (41281825),Connor Bazelak,41281825,QB,4000,TB@MIA 12/28/2025 01:00PM ET,TB,0
QB,Zach Wilson (41281826),Zach Wilson,41281826,QB,4000,TB@MIA 12/28/2025 01:00PM ET,MIA,0.46
RB,Josh Williams (41281986),Josh Williams,41281986,RB/FLEX,4000,TB@MIA 12/28/2025 01:00PM ET,TB,0.37
RB,Owen Wright (41281988),Owen Wright,41281988,RB/FLEX,4000,TB@MIA 12/28/2025 01:00PM ET,TB,0.2
RB,Michael Wiley (41281990),Michael Wiley,41281990,RB/FLEX,4000,TB@MIA 12/28/2025 01:00PM ET,TB,0
RB,Alexander Mattison (41281992),Alexander Mattison,41281992,RB/FLEX,4000,TB@MIA 12/28/2025 01:00PM ET,MIA,0
RB,Alec Ingold (41281994),Alec Ingold,41281994,RB/FLEX,4000,TB@MIA 12/28/2025 01:00PM ET,MIA,0.85
RB,Jeff Wilson Jr. (41281996),Jeff Wilson Jr.,41281996,RB/FLEX,4000,TB@MIA 12/28/2025 01:00PM ET,MIA,0
RB,JaMycal Hasty (41281998),JaMycal Hasty,41281998,RB/FLEX,4000,TB@MIA 12/28/2025 01:00PM ET,MIA,0
RB,Ollie Gordon II (41282064),Ollie Gordon II,41282064,RB/FLEX,4000,TB@MIA 12/28/2025 01:00PM ET,MIA,3.47
QB,Hendon Hooker (41281821),Hendon Hooker,41281821,QB,4000,NE@NYJ 12/28/2025 01:00PM ET,NYJ,0
QB,Joshua Dobbs (41281822),Joshua Dobbs,41281822,QB,4000,NE@NYJ 12/28/2025 01:00PM ET,NE,0.04
QB,Tommy DeVito (41281823),Tommy DeVito,41281823,QB,4000,NE@NYJ 12/28/2025 01:00PM ET,NE,0
RB,Khalil Herbert (41281964),Khalil Herbert,41281964,RB/FLEX,4000,NE@NYJ 12/28/2025 01:00PM ET,NYJ,0.1
RB,Kene Nwangwu (41281966),Kene Nwangwu,41281966,RB/FLEX,4000,NE@NYJ 12/28/2025 01:00PM ET,NYJ,0.6
RB,Braelon Allen (41281968),Braelon Allen,41281968,RB/FLEX,4000,NE@NYJ 12/28/2025 01:00PM ET,NYJ,4.08
RB,Andrew Beck (41281970),Andrew Beck,41281970,RB/FLEX,4000,NE@NYJ 12/28/2025 01:00PM ET,NYJ,1.05
RB,Terrell Jennings (41281972),Terrell Jennings,41281972,RB/FLEX,4000,NE@NYJ 12/28/2025 01:00PM ET,NE,2.17
